HG_NM,HG_NM,HJ_NM,BTH_DATE,SEX_GBN_NM,elected_cnt,POLY_NM,ORIG_NM
유은혜,유은혜,兪銀惠,1962-10-02,여,2,더불어민주당,경기 고양시병
유의동,유의동,兪義東,1971-06-23,남,3,새누리당,경기 평택시을
유재중,유재중,柳在仲,1956-03-27,남,3,미래통합당,부산 수영구
윤관석,윤관석,尹官石,1960-08-17,남,3,더불어민주당,인천 남동구을
윤상직,윤상직,尹相直,1956-05-25,남,1,미래통합당,부산 기장군
윤상현,윤상현,尹相現,1962-12-01,남,4,무소속,인천 남구을
윤소하,윤소하,尹昭夏,1961-09-10,남,1,정의당,비례대표
윤영석,윤영석,尹永碩,1964-10-07,남,3,새누리당,경남 양산시갑
윤영일,윤영일,尹英壹,1957-11-04,남,1,민생당,전남 해남군완도군진도군
윤일규,윤일규,尹一逵,1950-04-14,남,1,더불어민주당,충남 천안시병
윤재옥,윤재옥,尹在玉,1961-09-10,남,3,새누리당,대구 달서구을
윤종오,윤종오,尹鍾五,1963-08-14,남,1,민중당,울산 북구
윤종필,윤종필,尹鍾畢,1953-10-20,여,1,미래한국당,비례대표
윤준호,윤준호,尹俊晧,1967-06-07,남,1,더불어민주당,부산 해운대구을
윤한홍,윤한홍,尹漢洪,1962-11-01,남,2,새누리당,경남 창원시마산회원구
윤호중,윤호중,尹昊重,1963-03-27,남,4,더불어민주당,경기 구리시
윤후덕,윤후덕,尹厚德,1957-01-09,남,3,더불어민주당,경기 파주시갑
이개호,이개호,李介昊,1959-06-23,남,3,더불어민주당,전남 담양군함평군영광군장성군
이군현,이군현,李君賢,1952-03-12,남,4,자유한국당,경남 통영시고성군
이규희,이규희,李揆熙,1961-06-27,남,1,더불어민주당,충남 천안시갑
이동섭,이동섭,李銅燮,1956-11-07,남,1,민생당,비례대표
이만희,이만희,李晩熙,1963-12-11,남,2,새누리당,경북 영천시청도군
이명수,이명수,李明洙,1955-02-11,남,4,새누리당,충남 아산시갑
이상돈,이상돈,李相敦,1951-12-04,남,1,민생당,비례대표
이상민,이상민,李相珉,1958-01-22,남,5,더불어민주당,대전 유성구을
이상헌,이상헌,李相憲,1954-07-10,남,2,더불어민주당,울산 북구
이석현,이석현,李錫玄,1951-03-16,남,6,더불어민주당,경기 안양시동안구갑
이수혁,이수혁,李秀赫,1949-01-04,남,1,더불어민주당,비례대표
이양수,이양수,李亮壽,1967-08-15,남,2,새누리당,강원 속초시고성군양양군
이언주,이언주,李彦周,1972-11-08,여,2,미래통합당,경기 광명시을
이완영,이완영,李完永,1957-07-07,남,2,자유한국당,경북 고령군성주군칠곡군
이용득,이용득,李龍得,1953-09-13,남,1,더불어민주당,비례대표
이용주,이용주,李勇周,1968-06-14,남,1,무소속,전남 여수시갑
이용호,이용호,李容鎬,1960-03-20,남,2,국민의당,전북 남원시임실군순창군
이우현,이우현,李愚鉉,1957-01-03,남,2,자유한국당,경기 용인시갑
이원욱,이원욱,李元旭,1963-03-20,남,3,더불어민주당,경기 화성시을
이은권,이은권,李殷權,1957-02-25,남,1,미래통합당,대전 중구
이은재,이은재,李恩宰,1952-03-27,여,2,무소속,서울 강남구병
이인영,이인영,李仁榮,1964-06-28,남,4,더불어민주당,서울 구로구갑
이장우,이장우,李莊雨,1965-02-10,남,2,미래통합당,대전 동구
이재정,이재정,李在汀,1974-08-02,여,2,더불어민주당,비례대표
이정미,이정미,李貞味,1966-02-07,여,1,정의당,비례대표
이정현,이정현,李貞鉉,1958-09-01,남,3,무소속,전남 순천시
이종걸,이종걸,李鍾杰,1957-05-22,남,5,더불어민주당,경기 안양시만안구
이종구,이종구,李鍾九,1950-09-22,남,3,미래통합당,서울 강남구갑
이종명,이종명,李鍾明,1959-08-08,남,1,미래한국당,비례대표
이종배,이종배,李鍾培,1957-05-30,남,3,새누리당,충북 충주시
이주영,이주영,李柱榮,1951-09-30,남,5,미래통합당,경남 창원시마산합포구
이진복,이진복,李珍福,1957-10-18,남,3,미래통합당,부산 동래구
이찬열,이찬열,李燦烈,1959-07-15,남,3,미래통합당,경기 수원시갑
이채익,이채익,李埰益,1955-05-27,남,3,새누리당,울산 남구갑
이철규,이철규,李喆圭,1957-09-20,남,2,무소속,강원 동해시삼척시
이철우,이철우,李喆雨,1955-08-15,남,3,자유한국당,경북 김천시
이철희,이철희,李哲熙,1966-03-29,남,1,더불어민주당,비례대표
이춘석,이춘석,李春錫,1963-03-07,남,3,더불어민주당,전북 익산시갑
이태규,이태규,李泰珪,1964-03-22,남,2,국민의당,비례대표
이학영,이학영,李學永,1952-04-16,남,3,더불어민주당,경기 군포시을
이학재,이학재,李鶴宰,1964-08-19,남,3,미래통합당,인천 서구갑
이해찬,이해찬,李海瓚,1952-07-10,남,7,더불어민주당,세종특별자치시
이헌승,이헌승,李憲昇,1963-05-11,남,3,새누리당,부산 부산진구을
이현재,이현재,李賢在,1949-04-25,남,2,무소속,경기 하남시
이혜훈,이혜훈,李惠薰,1964-06-15,여,3,미래통합당,서울 서초구갑
이후삼,이후삼,李厚三,1969-09-18,남,1,더불어민주당,충북 제천시단양군
이훈,이훈,李薰,1965-09-06,남,1,더불어민주당,서울 금천구
인재근,인재근,印在謹,1953-11-11,여,3,더불어민주당,서울 도봉구갑
임이자,임이자,林利子,1964-03-05,여,2,새누리당,비례대표
임재훈,임재훈,林哉勳,1966-01-01,남,1,민생당,비례대표
임종성,임종성,林鍾聲,1965-08-05,남,2,더불어민주당,경기 광주시을
장병완,장병완,張秉浣,1952-05-05,남,3,민생당,광주 동구남구갑
장석춘,장석춘,張錫春,1957-08-18,남,1,미래한국당,경북 구미시을
장정숙,장정숙,張貞淑,1952-01-17,여,1,민생당,비례대표
장제원,장제원,張濟元,1967-04-13,남,3,무소속,부산 사상구
전재수,전재수,田載秀,1971-04-20,남,2,더불어민주당,부산 북구강서구갑
전해철,전해철,全海澈,1962-05-18,남,3,더불어민주당,경기 안산시상록구갑
전현희,전현희,全賢姬,1964-11-04,여,2,더불어민주당,서울 강남구을
전혜숙,전혜숙,全惠淑,1955-05-05,여,3,더불어민주당,서울 광진구갑
전희경,전희경,全希卿,1975-10-09,여,1,미래통합당,비례대표
정갑윤,정갑윤,鄭甲潤,1950-11-08,남,5,미래통합당,울산 중구
정동영,정동영,鄭東泳,1953-07-27,남,4,민생당,전북 전주시병
정병국,정병국,鄭柄國,1958-02-10,남,5,미래통합당,경기 여주시양평군
정성호,정성호,鄭成湖,1961-09-10,남,4,더불어민주당,경기 양주시
정세균,정세균,丁世均,1950-09-26,남,6,더불어민주당,서울 종로구
정양석,정양석,鄭亮碩,1958-11-25,남,2,미래통합당,서울 강북구갑
정용기,정용기,鄭容起,1962-06-01,남,2,미래통합당,대전 대덕구
정우택,정우택,鄭宇澤,1953-02-18,남,5,새누리당,충북 청주시상당구
정운천,정운천,鄭雲天,1954-04-10,남,2,새누리당,전북 전주시을
정유섭,정유섭,鄭有燮,1954-12-06,남,1,미래통합당,인천 부평구갑
정은혜,정은혜,鄭恩惠,1983-09-08,여,1,더불어민주당,비례대표
정인화,정인화,鄭仁和,1957-07-27,남,1,무소속,전남 광양시곡성군구례군
정재호,정재호,鄭在浩,1965-10-22,남,1,더불어민주당,경기 고양시을
정점식,정점식,鄭点植,1965-07-15,남,2,자유한국당,경남 통영시고성군
정종섭,정종섭,鄭宗燮,1957-06-16,남,1,미래통합당,대구 동구갑
정진석,정진석,鄭鎭碩,1960-09-04,남,5,새누리당,충남 공주시부여군청양군
정춘숙,정춘숙,鄭春淑,1964-01-08,여,2,더불어민주당,비례대표
정태옥,정태옥,鄭泰沃,1961-11-27,남,1,무소속,대구 북구갑
제윤경,제윤경,諸閏景,1971-07-25,여,1,더불어민주당,비례대표
조경태,조경태,趙慶泰,1968-01-10,남,5,새누리당,부산 사하구을
조배숙,조배숙,趙培淑,1956-09-10,여,4,민생당,전북 익산시을 
조승래,조승래,趙承來,1968-02-21,남,2,더불어민주당,대전 유성구갑
조원진,조원진,趙源震,1959-01-07,남,3,우리공화당,대구 달서구병
조응천,조응천,趙應天,1962-09-17,남,2,더불어민주당,경기 남양주시갑
조정식,조정식,趙正湜,1963-12-25,남,5,더불어민주당,경기 시흥시을
조훈현,조훈현,曺薰鉉,1953-03-10,남,1,미래한국당,비례대표
주광덕,주광덕,朱光德,1960-07-26,남,2,미래통합당,경기 남양주시병
주승용,주승용,朱昇鎔,1952-07-27,남,4,민생당,전남 여수시을
주호영,주호영,朱豪英,1960-12-10,남,5,무소속,대구 수성구을
지상욱,지상욱,池尙昱,1965-05-16,남,1,미래통합당,서울 중구성동구을
진선미,진선미,陳善美,1967-05-14,여,3,더불어민주당,서울 강동구갑
진영,진영,陳永,1950-10-23,남,4,더불어민주당,서울 용산구
채이배,채이배,蔡利培,1975-01-02,남,1,민생당,비례대표
천정배,천정배,千正培,1954-12-12,남,6,민생당,광주 서구을
최경환A,최경환A,崔炅煥,1955-02-27,남,4,자유한국당,경북 경산시
최경환B,최경환B,崔敬煥,1959-07-28,남,1,민생당,광주 북구을
최교일,최교일,崔敎一,1962-02-28,남,1,미래통합당,경북 영주시문경시예천군
최도자,최도자,崔道子,1955-03-04,여,1,민생당,비례대표
최명길,최명길,崔明吉,1961-03-19,남,1,국민의당,서울 송파구을
최연혜,최연혜,崔然惠,1956-04-02,여,1,미래통합당,비례대표
최운열,최운열,崔運烈,1950-04-02,남,1,더불어민주당,비례대표
최인호,최인호,崔仁昊,1966-10-15,남,2,더불어민주당,부산 사하구갑
최재성,최재성,崔宰誠,1965-09-09,남,4,더불어민주당,서울 송파구을
추경호,추경호,秋慶鎬,1960-07-29,남,2,새누리당,대구 달성군
추미애,추미애,秋美愛,1958-10-23,여,5,더불어민주당,서울 광진구을
추혜선,추혜선,秋惠仙,1971-01-15,여,1,정의당,비례대표
표창원,표창원,表蒼園,1966-05-03,남,1,더불어민주당,경기 용인시정
하태경,하태경,河泰慶,1968-03-29,남,3,새누리당,부산 해운대구갑
한선교,한선교,韓善敎,1959-06-23,남,4,미래한국당,경기 용인시병
한정애,한정애,韓貞愛,1965-01-08,여,3,더불어민주당,서울 강서구병
함진규,함진규,咸珍圭,1959-08-13,남,2,미래통합당,경기 시흥시갑
허윤정,허윤정,許允貞,1969-03-09,여,1,더불어민주당,비례대표
홍문종,홍문종,洪文鐘,1955-04-05,남,4,친박신당,경기 의정부시을
홍문표,홍문표,洪文杓,1947-10-05,남,4,새누리당,충남 홍성군예산군
홍영표,홍영표,洪永杓,1957-04-30,남,4,더불어민주당,인천 부평구을
홍의락,홍의락,洪宜洛,1955-03-11,남,2,더불어민주당,대구 북구을
홍익표,홍익표,洪翼杓,1967-11-20,남,3,더불어민주당,서울 중구성동구갑
홍일표,홍일표,洪日杓,1956-02-11,남,3,미래통합당,인천 남구갑
홍철호,홍철호,洪哲鎬,1958-08-13,남,2,미래통합당,경기 김포시을
황영철,황영철,黃永哲,1965-07-13,남,3,자유한국당,강원 홍천군철원군화천군양구군인제군
황주홍,황주홍,黃柱洪,1952-02-27,남,2,민생당,전남 고흥군보성군장흥군강진군
황희,황희,黃熙,1967-07-28,남,2,더불어민주당,서울 양천구갑
